75.16758123,0.0499911,,Fe CS,%,,,,
75.09974127,0.0405928,,7,8.378776,,,,
75.06563995,0.013628,,8,12.1553235,,,,
74.93543108,0.0276456,,9,30.861428,,,,
74.78627077,0.0111877,,10,36.85428,,,,
74.71371393,0.0674128,,11,9.847901,,,,
74.54615612,0.0462608,,12,0,,,,
74.46064636,0.0134183,,,,,,,
74.24217032,0.0320917,,,,,,,
74.18974913,0.0684015,,,,,,,
74.13296911,0.103538,,,,,,,
73.99139858,0.116379,,,,,,,
73.87853087,0.17376,,,,,,,
73.83145766,0.184291,,,,,,,
73.59349383,0.163112,,,,,,,
73.4452719,0.0962619,,,,,,,
73.23746359,0.0481401,,,,,,,
73.19595653,0.0703907,,,,,,,
73.11308341,0.0457514,,,,,,,
73.0674109,0.0703441,,,,,,,
72.989125,0.140628,,,,,,,
72.92086954,0.0702909,,,,,,,
72.85659452,0.114799,,,,,,,
72.79286008,0.0971974,,,,,,,
72.69725409,0.152241,,,,,,,
72.65593116,0.233085,,,,,,,
72.60062354,0.374862,,,,,,,
72.57767434,0.449854,,,,,,,
72.55473965,0.527189,,,,,,,
72.51781979,0.601004,,,,,,,
72.47712422,0.650208,,,,,,,
72.4275882,0.634955,,,,,,,
72.38741643,0.592752,,,,,,,
72.33420467,0.443904,,,,,,,
72.30762812,0.304441,,,,,,,
72.29034275,0.227091,,,,,,,
72.21455347,0.150891,,,,,,,
72.08523753,0.0934204,,,,,,,
72.02702897,0.113321,,,,,,,
71.90672284,0.0933538,,,,,,,
71.85796319,0.0722418,,,,,,,
71.78307735,0.020651,,,,,,,
71.69466381,0.00303955,,,,,,,
71.54035985,0.00766879,,,,,,,
71.38671867,0.0486262,,,,,,,
71.30747947,0.123596,,,,,,,
71.23701025,0.259507,,,,,,,
71.20182784,0.339181,,,,,,,
71.14013808,0.489158,,,,,,,
71.11769485,0.566493,,,,,,,
71.10015819,0.635627,,,,,,,
71.03864441,0.778573,,,,,,,
70.99552609,0.718791,,,,,,,
70.96139402,0.626199,,,,,,,
70.94028108,0.551191,,,,,,,
70.91512438,0.419931,,,,,,,
70.88066433,0.348433,,,,,,,
70.81629361,0.271064,,,,,,,
70.75607739,0.259322,,,,,,,
70.68709627,0.316718,,,,,,,
70.66614621,0.247569,,,,,,,
70.63233004,0.174899,,,,,,,
70.58126461,0.0858165,,,,,,,
70.48736866,0.0424205,,,,,,,
70.41931018,0.0177845,,,,,,,
70.31308198,0.0177429,,,,,,,
70.26207879,0.0306136,,,,,,,
70.17260386,0.0797974,,,,,,,
70.12577026,0.153607,,,,,,,
70.07899914,0.233276,,,,,,,
70.01528484,0.336376,,,,,,,
69.98129857,0.407847,,,,,,,
69.92643697,0.431263,,,,,,,
69.90554116,0.396099,,,,,,,
69.89726514,0.350392,,,,,,,
69.86851137,0.28124,,,,,,,
69.82247587,0.19919,,,,,,,
69.75608715,0.12182,,,,,,,
69.62251483,0.105361,,,,,,,
69.56470115,0.0385404,,,,,,,
69.50659374,0.0514077,,,,,,,
69.39494188,0.00448775,,,,,,,
69.28287383,0.0583491,,,,,,,
69.24572711,0.0770841,,,,,,,
69.15959194,0.0582991,,,,,,,
69.09330208,0.143819,,,,,,,
69.01100237,0.218786,,,,,,,
68.9453803,0.298447,,,,,,,
68.89595847,0.369911,,,,,,,
68.82596984,0.51168,,,,,,,
68.78854803,0.651118,,,,,,,
68.76374988,0.737827,,,,,,,
68.75116689,0.816337,,,,,,,
68.73058647,0.876095,,,,,,,
68.674244,0.7999,,,,,,,
68.6502884,0.71903,,,,,,,
68.62255121,0.578394,,,,,,,
68.58686784,0.42955,,,,,,,
68.54326308,0.27836,,,,,,,
68.50349844,0.198656,,,,,,,
68.44299333,0.168162,,,,,,,
68.39466615,0.188064,,,,,,,
68.29483037,0.135288,,,,,,,
68.24258013,0.144642,,,,,,,
68.17428689,0.197348,,,,,,,
68.08630799,0.27817,,,,,,,
68.0224319,0.267597,,,,,,,
67.98699695,0.203129,,,,,,,
67.93596097,0.124592,,,,,,,
67.86902276,0.0601102,,,,,,,
67.79813798,0.00265836,,,,,,,
67.75034664,0.0225603,,,,,,,
67.71889302,0.0412969,,,,,,,
67.64832133,-0.0020924,,,,,,,
67.60921932,-0.0232028,,,,,,,
67.54586687,0.0482549,,,,,,,
67.44812502,0.0400102,,,,,,,
67.39716184,0.0634261,,,,,,,
67.28377988,0.126659,,,,,,,
67.24072176,0.18875,,,,,,,
67.12786511,0.268389,,,,,,,
67.10098112,0.243768,,,,,,,
67.07049024,0.189849,,,,,,,
66.97013901,0.16754,,,,,,,
66.87044828,0.0948403,,,,,,,
66.72864931,0.0490756,,,,,,,
66.70603162,0.0291437,,,,,,,
66.63719599,0.0408325,,,,,,,
66.61034564,0.0666021,,,,,,,
66.54170724,0.0993847,,,,,,,
66.46893377,0.173181,,,,,,,
66.41196783,0.246984,,,,,,,
66.38138896,0.259862,,,,,,,
66.31322137,0.250457,,,,,,,
66.26077099,0.176605,,,,,,,
66.17447967,0.100395,,,,,,,
66.06974755,0.0405828,,,,,,,
66.02049375,0.131967,,,,,,,
65.99413798,0.201096,,,,,,,
65.96359164,0.269052,,,,,,,
65.94078812,0.353417,,,,,,,
65.91449594,0.428405,,,,,,,
65.87317199,0.51159,,,,,,,
65.80988586,0.478749,,,,,,,
65.77671801,0.393187,,,,,,,
65.7474185,0.319346,,,,,,,
65.72162864,0.239647,,,,,,,
65.69237817,0.177524,,,,,,,
65.62214422,0.12593,,,,,,,
65.51188171,0.0438488,,,,,,,
65.4638015,0.0625771,,,,,,,
65.40888974,0.0250522,,,,,,,
65.38646805,0.0461359,,,,,,,
65.32789933,0.0742343,,,,,,,
65.25809869,0.051937,,,,,,,
