c,Configuration,2JJ,Eingenvalue number,Energy,En Nec
1s,(1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1 ,0,0,-35975.80494,8986.02503
1s,(1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1 ,2,0,-35975.89633,8985.93364
2s,(1s)2 (2s)1 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1 ,0,0,-43855.4277,1106.40227
2s,(1s)2 (2s)1 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1 ,2,0,-43855.57931,1106.25066
2p,(1s)2 (2s)2 (2p)5 (3s)2 (3p)6 (3d)10 (4s)1 ,0,0,-44002.97328,958.85669
2p,(1s)2 (2s)2 (2p)5 (3s)2 (3p)6 (3d)10 (4s)1 ,2,0,-44022.95577,938.8742
2p,(1s)2 (2s)2 (2p)5 (3s)2 (3p)6 (3d)10 (4s)1 ,2,1,-44002.93215,958.89782
2p,(1s)2 (2s)2 (2p)5 (3s)2 (3p)6 (3d)10 (4s)1 ,4,0,-44023.03866,938.79131
3s,(1s)2 (2s)2 (2p)6 (3s)1 (3p)6 (3d)10 (4s)1 ,0,0,-44829.77821,132.05176
3s,(1s)2 (2s)2 (2p)6 (3s)1 (3p)6 (3d)10 (4s)1 ,2,0,-44829.96236,131.86761
3p,(1s)2 (2s)2 (2p)6 (3s)2 (3p)5 (3d)10 (4s)1 ,0,0,-44876.29035,85.53962
3p,(1s)2 (2s)2 (2p)6 (3s)2 (3p)5 (3d)10 (4s)1 ,2,0,-44878.56034,83.26963
3p,(1s)2 (2s)2 (2p)6 (3s)2 (3p)5 (3d)10 (4s)1 ,2,1,-44876.14744,85.68253
3p,(1s)2 (2s)2 (2p)6 (3s)2 (3p)5 (3d)10 (4s)1 ,4,0,-44878.80523,83.02474
3d,(1s)2 (2s)2 (2p)6 (3s)2 (3p)6 (3d)9 (4s)1 ,2,0,-44954.28337,7.5466
3d,(1s)2 (2s)2 (2p)6 (3s)2 (3p)6 (3d)9 (4s)1 ,4,0,-44954.41256,7.41741
3d,(1s)2 (2s)2 (2p)6 (3s)2 (3p)6 (3d)9 (4s)1 ,4,1,-44953.92648,7.90349
3d,(1s)2 (2s)2 (2p)6 (3s)2 (3p)6 (3d)9 (4s)1 ,6,0,-44954.53208,7.29789
4s,(1s)2 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)0 ,0,0,-44955.26947,6.5605
